timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active, clocks_event_reasons.gpu_idle, clocks_event_reasons.sw_power_cap, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sync_boost
2026/02/07 22:27:49.984, 1, P0, 99 %, 20 %, 1230 MHz, 3996 MHz, 1184.46 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:50.984, 1, P0, 99 %, 18 %, 1282 MHz, 3996 MHz, 1171.74 W, 73, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:51.985, 1, P0, 99 %, 19 %, 1230 MHz, 3996 MHz, 1176.07 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:52.985, 1, P0, 99 %, 19 %, 1267 MHz, 3996 MHz, 1178.97 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:53.985, 1, P0, 99 %, 17 %, 1267 MHz, 3996 MHz, 1179.77 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:54.985, 1, P0, 99 %, 17 %, 1252 MHz, 3996 MHz, 1179.44 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:55.985, 1, P0, 99 %, 17 %, 1290 MHz, 3996 MHz, 1181.40 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:56.985, 1, P0, 99 %, 19 %, 1260 MHz, 3996 MHz, 1179.71 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:57.986, 1, P0, 99 %, 20 %, 1230 MHz, 3996 MHz, 1181.70 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:58.986, 1, P0, 99 %, 19 %, 1237 MHz, 3996 MHz, 1177.47 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:59.986, 1, P0, 99 %, 19 %, 1245 MHz, 3996 MHz, 1178.59 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:00.986, 1, P0, 99 %, 18 %, 1275 MHz, 3996 MHz, 1179.61 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:01.986, 1, P0, 99 %, 19 %, 1252 MHz, 3996 MHz, 1179.79 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:02.987, 1, P0, 99 %, 19 %, 1245 MHz, 3996 MHz, 1180.76 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:03.987, 1, P0, 99 %, 19 %, 1252 MHz, 3996 MHz, 1180.83 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
